Treatment,Species,Light_Level,Replicate,Experimental_Day,Cells,Growth_Rate,P_values
P bur,P bur,0,A,0,56,,
P bur,P bur,0,B,0,50,,
P bur,P bur,0,C,0,53,,
P bur,P bur,50,A,0,55,,
P bur,P bur,50,B,0,58,,
P bur,P bur,50,C,0,49,,
P bur,P bur,100,A,0,55,,
P bur,P bur,100,B,0,53,,
P bur,P bur,100,C,0,42,,
P bur,P bur,200,A,0,43,,
P bur,P bur,200,B,0,44,,
P bur,P bur,200,C,0,48,,
P bur,P bur,0,A,1,58,,
P bur,P bur,0,B,1,59,,
P bur,P bur,0,C,1,48,,
P bur,P bur,50,A,1,41,,
P bur,P bur,50,B,1,39,,
P bur,P bur,50,C,1,53,,
P bur,P bur,100,A,1,37,,
P bur,P bur,100,B,1,65,,
P bur,P bur,100,C,1,45,,
P bur,P bur,200,A,1,43,,
P bur,P bur,200,B,1,46,,
P bur,P bur,200,C,1,67,,
P bur,P bur,0,A,4,32,,
P bur,P bur,0,B,4,40,,
P bur,P bur,0,C,4,41,,
P bur,P bur,50,A,4,43,,
P bur,P bur,50,B,4,48,,
P bur,P bur,50,C,4,56,,
P bur,P bur,100,A,4,60,,
P bur,P bur,100,B,4,77,,
P bur,P bur,100,C,4,77,,
P bur,P bur,200,A,4,81,,
P bur,P bur,200,B,4,74,,
P bur,P bur,200,C,4,67,,
P bur,P bur,0,A,7,27,,
P bur,P bur,0,B,7,29,,
P bur,P bur,0,C,7,27,,
P bur,P bur,50,A,7,60,,
P bur,P bur,50,B,7,60,,
P bur,P bur,50,C,7,100,,
P bur,P bur,100,A,7,127,,
P bur,P bur,100,B,7,156,,
P bur,P bur,100,C,7,132,,
P bur,P bur,200,A,7,98,,
P bur,P bur,200,B,7,117,,
P bur,P bur,200,C,7,98,,
P bur,P bur,0,A,11,16,,
P bur,P bur,0,B,11,32,,
P bur,P bur,0,C,11,35,,
P bur,P bur,50,A,11,124,,
P bur,P bur,50,B,11,127,,
P bur,P bur,50,C,11,133,,
P bur,P bur,100,A,11,197,,
P bur,P bur,100,B,11,213,,
P bur,P bur,100,C,11,207,,
P bur,P bur,200,A,11,216,,
P bur,P bur,200,B,11,198,,
P bur,P bur,200,C,11,124,,
P bur,P bur,0,A,14,11,,
P bur,P bur,0,B,14,21,,
P bur,P bur,0,C,14,25,,
P bur,P bur,50,A,14,192,,
P bur,P bur,50,B,14,104,,
P bur,P bur,50,C,14,234,,
P bur,P bur,100,A,14,343.3333333,,
P bur,P bur,100,B,14,510,,
P bur,P bur,100,C,14,440,,
P bur,P bur,200,A,14,433.3333333,,
P bur,P bur,200,B,14,416.6666667,,
P bur,P bur,200,C,14,410,,
P bur,P bur,0,A,17,14,,
P bur,P bur,0,B,17,5,,
P bur,P bur,0,C,17,23,,
P bur,P bur,50,A,17,257.5,,
